Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
57;10;FIELD;ORGID;ORGID;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.RacineOperationnelle};MPIA.RacineOperationnelle.Nom
58;10;FIELD;ORGID;ORGID;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;_;_;_
59;10;FIELD;ORGID;ORGID;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.StructureOrganisee;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
60;10;FIELD;ORGID;ORGID;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';_;_;_
61;10;FIELD;ORGID;ORGID;5;;1311/003;M-1;2..6;UNIT ROLE INDICATOR CODE 'B';_;_;_
62;10;FIELD;ORGID;ORGID;6;;1311/004;M-1;2..6;UNIT ROLE INDICATOR CODE 'C';_;_;_
63;10;FIELD;ORGID;ORGID;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';_;_;_
64;10;FIELD;ORGID;ORGID;8;;1022/040;M-1;1..15;HIGHER FORMATION NAME;_;_;_
65;10;FIELD;ORGID;ORGID;9;;;M-1;;ARMED SERVICE OR CIVILIAN AGENCY CODE;_;_;_
66;10;FIELD;ORGID;ORGID;9A;;1107/001;M-1;1..1;ARMED SERVICE;_;_;_
67;10;FIELD;ORGID;ORGID;9B;;1507/001;M-1;2..8;CIVILIAN AGENCY CODE;MPIA.StructureOrganisee;MPIA.AutreTypeOrganisationGouvernementale;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.AutreTypeOrganisationGouvernementale.SousCategorie
68;10;COMP. FIELD;ORGID;ORGID;10;;2141/001;C-1;7..9;UNIT IDENTIFICATION CODE (UIC);_;_;_
69;10;FIELD;ORGID;ORGID;10;1;1026/002 ;C-1;2..2;NATIONALITY;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
70;10;FIELD;ORGID;ORGID;10;2;1107/001 ;C-1;1..1;ARMED SERVICE ;MPIA.StructureOrganisee;MPIA.StructureOrganisee{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
